"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species"
"715414e8fb48ae19fc52e4fccf9ad97d","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_stercorea"
"ee293984c0110b2eeceb8427fdf448fb","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
"fc02af89d869043b296114729009a5b0","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__CAG-352","s__uncultured_bacterium"
