"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species"
"8e90ac2f0df6304022cff8cd278f8218","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira",NA
"c1e6a3b26cc7d12c8f7e22ebb092e001","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"df15aa00cffdc5235078831e54deb6db","d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_prokaryote"
"e0a25143b7f2e59d7266ee802d1aeb61","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002",NA
"fb798da6858b8b3f34077164a4ec9315","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA
