"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species"
"63b26504f32377cd78d6068bffb86b9a","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"dfd770d48651635c39bdafe13f62e75a","d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",NA
"eb61cae65bc6cdd2440323bbf603ba5c","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA
