"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species"
"8e90ac2f0df6304022cff8cd278f8218","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira",NA
"c1e6a3b26cc7d12c8f7e22ebb092e001","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"fb798da6858b8b3f34077164a4ec9315","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA
"fc02af89d869043b296114729009a5b0","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__CAG-352","s__uncultured_bacterium"
